time,area,actual_total_load_mw,total_load_forecast_mw
02/04/2025 17:15 - 02/04/2025 17:30,BZN|NL,13608.93,11101.23
02/04/2025 17:30 - 02/04/2025 17:45,BZN|NL,13695.43,11497.11
02/04/2025 17:45 - 02/04/2025 18:00,BZN|NL,13773.23,11901.57
02/04/2025 18:00 - 02/04/2025 18:15,BZN|NL,13791.82,12373.43
02/04/2025 18:15 - 02/04/2025 18:30,BZN|NL,13758.31,12965.98
02/04/2025 18:30 - 02/04/2025 18:45,BZN|NL,13707.08,13415.35
02/04/2025 18:45 - 02/04/2025 19:00,BZN|NL,13807.74,13747.08
02/04/2025 19:00 - 02/04/2025 19:15,BZN|NL,13947.42,13994.59
02/04/2025 19:15 - 02/04/2025 19:30,BZN|NL,14108.5,14293.57
02/04/2025 19:30 - 02/04/2025 19:45,BZN|NL,14279.56,14527.48
02/04/2025 19:45 - 02/04/2025 20:00,BZN|NL,14474.67,14647.48
02/04/2025 20:00 - 02/04/2025 20:15,BZN|NL,14620.57,14766.11
02/04/2025 20:15 - 02/04/2025 20:30,BZN|NL,14724.73,14766.36
02/04/2025 20:30 - 02/04/2025 20:45,BZN|NL,14778.6,14723.88
02/04/2025 20:45 - 02/04/2025 21:00,BZN|NL,14743.24,14683.61
02/04/2025 21:00 - 02/04/2025 21:15,BZN|NL,14553.12,14636.75
02/04/2025 21:15 - 02/04/2025 21:30,BZN|NL,14391.27,14518.31
02/04/2025 21:30 - 02/04/2025 21:45,BZN|NL,14188.83,14417.86
02/04/2025 21:45 - 02/04/2025 22:00,BZN|NL,14065.56,14322.82
02/04/2025 22:00 - 02/04/2025 22:15,BZN|NL,13743.93,14174.09
02/04/2025 22:15 - 02/04/2025 22:30,BZN|NL,13548.84,14019.51
02/04/2025 22:30 - 02/04/2025 22:45,BZN|NL,13359.76,13858.98
02/04/2025 22:45 - 02/04/2025 23:00,BZN|NL,13094.55,13726.89
02/04/2025 23:00 - 02/04/2025 23:15,BZN|NL,12819.53,13593.02
